Duty Cycle,Left Rotor Speed (rpm),Left Rotor Speed (rad/s),Right Rotor Speed (rpm),Right Rotor Speed (rad/s)
-255,-484.06,-50.691,-491.69,-51.490
-254,-490.8,-51.396,-502.85,-52.658
-253,-492.47,-51.571,-500.89,-52.453
-252,-492.47,-51.571,-498.58,-52.211
-251,-485.63,-50.855,-496.94,-52.039
-250,-485.43,-50.834,-495.04,-51.840
-249,-484.57,-50.744,-493.01,-51.628
-248,-481.79,-50.453,-491.24,-51.443
-247,-480.92,-50.362,-489.33,-51.243
-246,-479.54,-50.217,-486.45,-50.941
-245,-476.7,-49.920,-485.23,-50.813
-244,-474.35,-49.674,-482.83,-50.562
-243,-471.74,-49.400,-480.25,-50.292
-242,-469.98,-49.216,-478.51,-50.109
-241,-467.34,-48.940,-477.02,-49.953
-240,-466.76,-48.879,-474.97,-49.739
-239,-465.36,-48.732,-472.67,-49.498
-238,-461.64,-48.343,-470.62,-49.283
-237,-463.32,-48.519,-468.74,-49.086
-236,-458.29,-47.992,-466.5,-48.852
-235,-457.05,-47.862,-464.13,-48.604
-234,-454.26,-47.570,-461.32,-48.309
-233,-455.08,-47.656,-460.21,-48.193
-232,-449.78,-47.101,-457.2,-47.878
-231,-450.15,-47.140,-456.1,-47.763
-230,-445.58,-46.661,-453.45,-47.485
-229,-445.35,-46.637,-451.67,-47.299
-228,-442.34,-46.322,-449.67,-47.089
-227,-442.72,-46.362,-447.67,-46.880
-226,-437.96,-45.863,-445.13,-46.614
-225,-437.97,-45.864,-444.31,-46.528
-224,-433.49,-45.395,-441.5,-46.234
-223,-433.9,-45.438,-439.18,-45.991
-222,-430.41,-45.072,-436.97,-45.759
-221,-430.65,-45.098,-435.5,-45.605
-220,-424,-44.401,-432.87,-45.330
-219,-424.47,-44.450,-430.53,-45.085
-218,-423.28,-44.326,-428.81,-44.905
-217,-419.73,-43.954,-426.6,-44.673
-216,-418.34,-43.808,-424.53,-44.457
-215,-416.86,-43.653,-422.92,-44.288
-214,-414.35,-43.391,-420.84,-44.070
-213,-412.5,-43.197,-418.29,-43.803
-212,-410.57,-42.995,-416.38,-43.603
-211,-408.56,-42.784,-414.37,-43.393
-210,-405.38,-42.451,-412.48,-43.195
-209,-404.14,-42.321,-410.3,-42.967
-208,-403.19,-42.222,-408.24,-42.751
-207,-397.26,-41.601,-405.66,-42.481
-206,-400.63,-41.954,-403.87,-42.293
-205,-399.06,-41.789,-400.13,-41.902
-204,-396.78,-41.551,-399.63,-41.849
-203,-390.46,-40.889,-400.23,-41.912
-202,-391.11,-40.957,-396.66,-41.538
-201,-386.39,-40.463,-392.89,-41.143
-200,-386.3,-40.453,-391.2,-40.966
-199,-383.41,-40.151,-388.94,-40.730
-198,-383.23,-40.132,-386.47,-40.471
-197,-378.63,-39.650,-384.77,-40.293
-196,-378.54,-39.641,-382.41,-40.046
-195,-373.88,-39.153,-380.47,-39.843
-194,-374.4,-39.207,-378.25,-39.610
-193,-371.39,-38.892,-376.39,-39.415
-192,-371.32,-38.885,-374.81,-39.250
-191,-364.98,-38.221,-371.95,-38.951
-190,-365.98,-38.325,-370.45,-38.793
-189,-364.39,-38.159,-367.6,-38.495
-188,-360.9,-37.793,-366.65,-38.395
-187,-359.43,-37.639,-363.82,-38.099
-186,-357.77,-37.466,-361.51,-37.857
-185,-355.4,-37.217,-359.64,-37.661
-184,-353.42,-37.010,-357.78,-37.467
-183,-351.52,-36.811,-355.61,-37.239
-182,-350,-36.652,-353.52,-37.021
-181,-347.27,-36.366,-351.11,-36.768
-180,-344.13,-36.037,-349.16,-36.564
-179,-345.57,-36.188,-347.25,-36.364
-178,-341.23,-35.734,-344.7,-36.097
-177,-338.63,-35.461,-342.67,-35.884
-176,-336.36,-35.224,-340.99,-35.708
-175,-338.66,-35.464,-338.63,-35.461
-174,-331.4,-34.704,-336.69,-35.258
-173,-330.96,-34.658,-334.87,-35.068
-172,-329.15,-34.469,-333.29,-34.902
-171,-326.66,-34.208,-330.87,-34.649
-170,-325.99,-34.138,-329.21,-34.475
-169,-322.66,-33.789,-326.87,-34.230
-168,-320.67,-33.580,-324.79,-34.012
-167,-321.83,-33.702,-322.35,-33.756
-166,-315.03,-32.990,-320.48,-33.561
-165,-314.9,-32.976,-318.96,-33.401
-164,-315.4,-33.029,-316.94,-33.190
-163,-307.78,-32.231,-314.36,-32.920
-162,-310.15,-32.479,-312.69,-32.745
-161,-306.42,-32.088,-309.97,-32.460
-160,-305.39,-31.980,-308.85,-32.343
-159,-304.68,-31.906,-306.14,-32.059
-158,-300.83,-31.503,-304.44,-31.881
-157,-298.37,-31.245,-302.54,-31.682
-156,-296.77,-31.078,-300.28,-31.445
-155,-295.08,-30.901,-297.94,-31.200
-154,-293.34,-30.718,-296.32,-31.031
-153,-290.93,-30.466,-294.08,-30.796
-152,-287.22,-30.078,-292.43,-30.623
-151,-286.67,-30.020,-290.28,-30.398
-150,-285.31,-29.878,-288.17,-30.177
-149,-281.73,-29.503,-286.63,-30.016
-148,-284.13,-29.754,-284.29,-29.771
-147,-276.38,-28.942,-282.09,-29.540
-146,-276.43,-28.948,-280.57,-29.381
-145,-277.29,-29.038,-278.26,-29.139
-144,-265.51,-27.804,-274.76,-28.773
-143,-268.31,-28.097,-272.66,-28.553
-142,-265.25,-27.777,-267.35,-27.997
-141,-267.92,-28.057,-266.64,-27.922
-140,-265.25,-27.777,-266.84,-27.943
-139,-268.15,-28.081,-266.61,-27.919
-138,-265.35,-27.787,-266.63,-27.921
-137,-267.84,-28.048,-266.61,-27.919
-136,-265.36,-27.788,-266.91,-27.951
-135,-267.95,-28.060,-266.5,-27.908
-134,-265.52,-27.805,-266.64,-27.922
-133,-267.56,-28.019,-266.69,-27.928
-132,-265.63,-27.817,-266.85,-27.944
-131,-267.73,-28.037,-266.46,-27.904
-130,-246.68,-25.832,-266.72,-27.931
-129,-245.06,-25.663,-266.64,-27.922
-128,-242.49,-25.393,-245.61,-25.720
-127,-239.96,-25.129,-242.1,-25.353
-126,-238.26,-24.951,-240.32,-25.166
-125,-236.56,-24.773,-238.46,-24.971
-124,-234.96,-24.605,-236.32,-24.747
-123,-232.88,-24.387,-234.15,-24.520
-122,-229.87,-24.072,-232.57,-24.355
-121,-228.19,-23.896,-230.94,-24.184
-120,-229.33,-24.015,-228.86,-23.966
-119,-225.61,-23.626,-226.51,-23.720
-118,-221.24,-23.168,-225.34,-23.598
-117,-221.25,-23.169,-222.54,-23.304
-116,-220.55,-23.096,-220.86,-23.128
-115,-216.97,-22.721,-218.89,-22.922
-114,-215.77,-22.595,-217.42,-22.768
-113,-215.52,-22.569,-214.95,-22.510
-112,-210.09,-22.001,-213.35,-22.342
-111,-210.04,-21.995,-211.06,-22.102
-110,-207.74,-21.754,-209.31,-21.919
-109,-206.59,-21.634,-207.18,-21.696
-108,-204.1,-21.373,-205.7,-21.541
-107,-202.58,-21.214,-203.54,-21.315
-106,-197.18,-20.649,-201.85,-21.138
-105,-200.15,-20.960,-200.36,-20.982
-104,-198.76,-20.814,-197.56,-20.688
-103,-192.41,-20.149,-195.89,-20.514
-102,-193.36,-20.249,-194.2,-20.337
-101,-191.66,-20.071,-191.78,-20.083
-100,-190.06,-19.903,-190.62,-19.962
-99,-184.73,-19.345,-188.37,-19.726
-98,-183.98,-19.266,-185.93,-19.471
-97,-183.58,-19.224,-184.47,-19.318
-96,-181.61,-19.018,-182.39,-19.100
-95,-177.84,-18.623,-180.71,-18.924
-94,-177.93,-18.633,-177.79,-18.618
-93,-177.66,-18.605,-177.84,-18.623
-92,-173.48,-18.167,-174.9,-18.315
-91,-170.8,-17.886,-172.6,-18.075
-90,-170.72,-17.878,-170.98,-17.905
-89,-170.08,-17.811,-169.41,-17.741
-88,-163.98,-17.172,-167.16,-17.505
-87,-163.89,-17.163,-164.85,-17.263
-86,-159,-16.650,-163.69,-17.142
-85,-163.22,-17.092,-160.98,-16.858
-84,-157.25,-16.467,-159.97,-16.752
-83,-155.84,-16.320,-157.63,-16.507
-82,-157.59,-16.503,-155.64,-16.299
-81,-150.86,-15.798,-153.64,-16.089
-80,-152.02,-15.919,-151.99,-15.916
-79,-147.44,-15.440,-150.06,-15.714
-78,-148.37,-15.537,-147.8,-15.478
-77,-144.16,-15.096,-145.53,-15.240
-76,-145.02,-15.186,-144.21,-15.102
-75,-138.14,-14.466,-142.22,-14.893
-74,-139.99,-14.660,-140.8,-14.745
-73,-139.1,-14.567,-137.87,-14.438
-72,-130.6,-13.676,-133.44,-13.974
-71,-134.39,-14.073,-133.46,-13.976
-70,-132.46,-13.871,-133.37,-13.966
-69,-135.98,-14.240,-133.28,-13.957
-68,-126.82,-13.281,-133.07,-13.935
-67,-124.6,-13.048,-133.58,-13.988
-66,-123.5,-12.933,-125.43,-13.135
-65,-122.58,-12.837,-123.01,-12.882
-64,-120.3,-12.598,-120.78,-12.648
-63,-118.64,-12.424,-118.97,-12.459
-62,-115.63,-12.109,-117.19,-12.272
-61,-113.83,-11.920,-114.89,-12.031
-60,-112.74,-11.806,-113.58,-11.894
-59,-112.17,-11.746,-110.99,-11.623
-58,-109.99,-11.518,-108.86,-11.400
-57,-104.23,-10.915,-107.39,-11.246
-56,-105.71,-11.070,-106.32,-11.134
-55,-101.61,-10.641,-104.16,-10.908
-54,-103.56,-10.845,-101.2,-10.598
-53,-97.49,-10.209,-100.4,-10.514
-52,-96.38,-10.093,-97.76,-10.237
-51,-97.85,-10.247,-95.43,-9.993
-50,-92.69,-9.706,-94.42,-9.888
-49,-93.18,-9.758,-92.19,-9.654
-48,-87.46,-9.159,-89.07,-9.327
-47,-89.75,-9.399,-88.9,-9.310
-46,-84.14,-8.811,-86.07,-9.013
-45,-85.17,-8.919,-84.14,-8.811
-44,-79.21,-8.295,-82.62,-8.652
-43,-80.88,-8.470,-80.5,-8.430
-42,-80.48,-8.428,-78.34,-8.204
-41,-73.38,-7.684,-76.44,-8.005
-40,-75.16,-7.871,-74.54,-7.806
-39,-71.48,-7.485,-72.55,-7.597
-38,-72.37,-7.579,-70.82,-7.416
-37,-68.31,-7.153,-69.21,-7.248
-36,-64.83,-6.789,-66.57,-6.971
-35,-63.42,-6.641,-64.67,-6.772
-34,-62.1,-6.503,-62.85,-6.582
-33,-60.44,-6.329,-60.83,-6.370
-32,-58.42,-6.118,-59.08,-6.187
-31,-56.85,-5.953,-57.08,-5.977
-30,-55.52,-5.814,-55.27,-5.788
-29,-54.34,-5.690,-53.58,-5.611
-28,-51.83,-5.428,-51.24,-5.366
-27,-46.34,-4.853,-48.65,-5.095
-26,-47.15,-4.938,-47.36,-4.960
-25,-43.75,-4.581,-45.26,-4.740
-24,-45.78,-4.794,-43.54,-4.559
-23,-38.91,-4.075,-40.84,-4.277
-22,-39.05,-4.089,-39.6,-4.147
-21,-39.43,-4.129,-37.49,-3.926
-20,-32.93,-3.448,-34.89,-3.654
-19,-33.19,-3.476,-33.68,-3.527
-18,-30.98,-3.244,-31.36,-3.284
-17,-29.17,-3.055,-29.48,-3.087
-16,-27.42,-2.871,-27.29,-2.858
-15,-26.66,-2.792,-25.68,-2.689
-14,-22.21,-2.326,-23.39,-2.449
-13,-21.49,-2.250,-21.57,-2.259
-12,-18.65,-1.953,-19.23,-2.014
-11,-17.21,-1.802,-17.66,-1.849
-10,-14.47,-1.515,-15.23,-1.595
-9,-15.14,-1.585,-13.49,-1.413
-8,-9.46,-0.991,-10.31,-1.080
-7,-2.24,-0.235,-7.8,-0.817
-6,-0.15,-0.016,-0.51,-0.053
-5,0,0.000,0.01,0.001
-4,0,0.000,-0.01,-0.001
-3,0,0.000,0.01,0.001
-2,-0.01,-0.001,0,0.000
-1,0,0.000,0.03,0.003
0,0.16,0.017,0.16,0.017
1,0,0.000,0.01,0.001
2,-0.01,-0.001,0,0.000
3,0.01,0.001,-0.01,-0.001
4,-0.01,-0.001,0.01,0.001
5,0.01,0.001,0,0.000
6,0,0.000,-0.03,-0.003
7,0,0.000,0.03,0.003
8,0,0.000,-0.01,-0.001
9,4.95,0.518,8.46,0.886
10,13.89,1.455,11.73,1.228
11,15.05,1.576,15.31,1.603
12,18.23,1.909,16.47,1.725
13,15.51,1.624,18.71,1.959
14,23.13,2.422,21.07,2.206
15,23.65,2.477,22.73,2.380
16,24.23,2.537,24.71,2.588
17,28.31,2.965,27.26,2.855
18,27.32,2.861,28.99,3.036
19,33.23,3.480,31.36,3.284
20,32.39,3.392,32.68,3.422
21,34.78,3.642,35.36,3.703
22,36.96,3.870,37.12,3.887
23,37.95,3.974,38.62,4.044
24,42.85,4.487,41.13,4.307
25,42.96,4.499,43.29,4.533
26,45.7,4.786,44.41,4.651
27,44.98,4.710,46.85,4.906
28,49.24,5.156,49.1,5.142
29,53.17,5.568,50.66,5.305
30,53.82,5.636,53.18,5.569
31,54.74,5.732,54.92,5.751
32,56.69,5.937,56.72,5.940
33,59.09,6.188,59.06,6.185
34,61.76,6.467,60.57,6.343
35,63.48,6.648,62.47,6.542
36,64.57,6.762,64.57,6.762
37,65.16,6.824,66.85,7.001
38,68.98,7.224,68.37,7.160
39,73.31,7.677,69.92,7.322
40,71.91,7.530,72.85,7.629
41,75.82,7.940,73.8,7.728
42,74.44,7.795,76.27,7.987
43,80.87,8.469,77.79,8.146
44,81.59,8.544,80.09,8.387
45,81.89,8.576,81.9,8.577
46,85.35,8.938,84.34,8.832
47,84.42,8.840,85.54,8.958
48,91.06,9.536,88.76,9.295
49,89.31,9.353,88.89,9.309
50,95.47,9.998,89.04,9.324
51,93.55,9.797,93.18,9.758
52,94.87,9.935,95.47,9.998
53,99.98,10.470,96.9,10.147
54,100.38,10.512,100.05,10.477
55,99.92,10.464,101.09,10.586
56,107.6,11.268,103.34,10.822
57,105.77,11.076,105.89,11.089
58,108.21,11.332,107.06,11.211
59,110.5,11.572,108.65,11.378
60,111.41,11.667,111.05,11.629
61,113.29,11.864,113.09,11.843
62,115.7,12.116,114.82,12.024
63,118.21,12.379,116.72,12.223
64,120.07,12.574,118.43,12.402
65,123.01,12.882,120.34,12.602
66,124.45,13.032,122.21,12.798
67,126.22,13.218,124.17,13.003
68,127.35,13.336,126.36,13.232
69,132.74,13.901,128.87,13.495
70,130.34,13.649,132.79,13.906
71,135.44,14.183,134,14.032
72,132.93,13.920,132.88,13.915
73,134.6,14.095,133.42,13.972
74,135.79,14.220,133.25,13.954
75,143.5,15.027,133.67,13.998
76,143.06,14.981,140.96,14.761
77,146.95,15.389,143.34,15.011
78,146.89,15.382,145.44,15.230
79,150,15.708,147.25,15.420
80,149.93,15.701,149.31,15.636
81,155.13,16.245,151.65,15.881
82,154.98,16.229,152.75,15.996
83,158.52,16.600,154.73,16.203
84,159.9,16.745,156.4,16.378
85,160.42,16.799,159.42,16.694
86,160.36,16.793,160.74,16.833
87,167.81,17.573,162.79,17.047
88,166.69,17.456,164.37,17.213
89,168.43,17.638,166.92,17.480
90,171.5,17.959,168.31,17.625
91,172.75,18.090,170.36,17.840
92,174.52,18.276,172.53,18.067
93,177.68,18.607,174.46,18.269
94,177.85,18.624,177.67,18.606
95,177.86,18.625,177.73,18.612
96,182.58,19.120,177.88,18.628
97,183.94,19.262,181.24,18.979
98,186.44,19.524,183.48,19.214
99,189.24,19.817,185.93,19.471
100,187.76,19.662,187.78,19.664
101,194.22,20.339,189.37,19.831
102,194.01,20.317,191.6,20.064
103,197.05,20.635,192.64,20.173
104,198.92,20.831,195.34,20.456
105,200.51,20.997,197.34,20.665
106,198.43,20.780,199.39,20.880
107,205.46,21.516,201.14,21.063
108,205.32,21.501,203.36,21.296
109,208.23,21.806,204.58,21.424
110,208.21,21.804,206.78,21.654
111,212.18,22.219,208.33,21.816
112,211.52,22.150,210.48,22.041
113,218.34,22.865,212.09,22.210
114,216.56,22.678,214.39,22.451
115,217.05,22.729,216.25,22.646
116,223.09,23.362,217.63,22.790
117,223.17,23.370,219.9,23.028
118,224.89,23.550,222.13,23.261
119,227.07,23.779,223.77,23.433
120,226.81,23.751,225.35,23.599
121,230.29,24.116,228.86,23.966
122,233.39,24.441,231.51,24.244
123,235.06,24.615,233.4,24.442
124,236.7,24.787,235.45,24.656
125,238.66,24.992,237.45,24.866
126,241.53,25.293,239.57,25.088
127,245.48,25.707,241.35,25.274
128,247.94,25.964,242.92,25.439
129,247.51,25.919,245.05,25.662
130,251.56,26.343,247.44,25.912
131,249.39,26.116,249.01,26.076
132,256.89,26.901,250.91,26.275
133,256.76,26.888,252.71,26.464
134,256.54,26.865,255.14,26.718
135,267.71,28.035,256.84,26.896
136,264.81,27.731,260.72,27.303
137,268.49,28.116,266.59,27.917
138,264.85,27.735,266.48,27.906
139,268.46,28.113,266.86,27.946
140,264.66,27.715,266.44,27.902
141,268.68,28.136,266.86,27.946
142,264.73,27.722,266.5,27.908
143,268.52,28.119,266.77,27.936
144,264.62,27.711,266.55,27.913
145,268.79,28.148,266.9,27.950
146,264.67,27.716,266.47,27.905
147,284.65,29.808,266.73,27.932
148,287.22,30.078,266.62,27.920
149,287.59,30.116,266.86,27.946
150,290.76,30.448,284.6,29.803
151,292.64,30.645,288.22,30.182
152,294.32,30.821,290.33,30.403
153,296.07,31.004,292.28,30.607
154,297.53,31.157,294.09,30.797
155,299.64,31.378,296.26,31.024
156,301.52,31.575,298.1,31.217
157,304.88,31.927,300.32,31.449
158,305.08,31.948,302.13,31.639
159,305.14,31.954,303.79,31.813
160,311.75,32.646,305.2,31.960
161,310.98,32.566,307.56,32.208
162,314.65,32.950,309.02,32.360
163,313.1,32.788,311.61,32.632
164,318.65,33.369,312.98,32.775
165,319.45,33.453,315.26,33.014
166,321.07,33.622,316.66,33.161
167,323.45,33.872,319,33.406
168,324.12,33.942,320.56,33.569
169,327.74,34.321,323.14,33.839
170,328.02,34.350,324.62,33.994
171,329.25,34.479,326.68,34.210
172,332.77,34.848,328.28,34.377
173,333.24,34.897,330.48,34.608
174,337.52,35.345,332.06,34.773
175,337.1,35.301,334.18,34.995
176,340.05,35.610,336.18,35.205
177,339.19,35.520,338.41,35.438
178,345.6,36.191,339.74,35.577
179,346.77,36.314,342.26,35.841
180,346.31,36.265,343.6,35.982
181,349.19,36.567,346.33,36.268
182,351.79,36.839,347.72,36.413
183,353.76,37.046,349.86,36.637
184,355.61,37.239,351.89,36.850
185,355.56,37.234,353.78,37.048
186,358.01,37.491,355.51,37.229
187,360.31,37.732,357.42,37.429
188,362.98,38.011,359.32,37.628
189,364.6,38.181,361.34,37.839
190,364.24,38.143,363.08,38.022
191,370.48,38.797,365.01,38.224
192,370.52,38.801,367.38,38.472
193,373.72,39.136,368.68,38.608
194,371.47,38.900,372.06,38.962
195,378.14,39.599,373.06,39.067
196,378.61,39.648,375.24,39.295
197,380.08,39.802,378,39.584
198,383.16,40.124,379.04,39.693
199,383.11,40.119,380.86,39.884
200,387.48,40.577,382.86,40.093
201,387.5,40.579,385.03,40.320
202,389.78,40.818,387.53,40.582
203,392.57,41.110,389.25,40.762
204,393.52,41.209,390.34,40.876
205,397.74,41.651,393,41.155
206,400.3,41.919,395.37,41.403
207,400.16,41.905,396.88,41.561
208,398.11,41.690,399.78,41.865
209,400.95,41.987,400.02,41.890
210,407.47,42.670,400.13,41.902
211,408.29,42.756,403.76,42.282
212,409.67,42.901,407.24,42.646
213,412.7,43.218,409.36,42.868
214,414.92,43.450,410.92,43.031
215,417.24,43.693,413.01,43.250
216,419.89,43.971,415,43.459
217,421.24,44.112,417.29,43.699
218,421.41,44.130,418.82,43.859
219,425.7,44.579,420.93,44.080
220,428.99,44.924,423.54,44.353
221,428.81,44.905,426.21,44.633
222,430.13,45.043,427.65,44.783
223,433.36,45.381,430.44,45.076
224,434.68,45.520,432.08,45.247
225,435.39,45.594,434.14,45.463
226,440.46,46.125,435.74,45.631
227,441.2,46.202,437.98,45.865
228,442.48,46.336,439.78,46.054
229,445.82,46.686,442.25,46.312
230,446.77,46.786,444.44,46.542
231,447.35,46.846,446.09,46.714
232,451.23,47.253,448.32,46.948
233,452.67,47.403,450.6,47.187
234,455.82,47.733,452.19,47.353
235,457.53,47.912,454.79,47.625
236,459.03,48.070,456.43,47.797
237,458.72,48.037,457.93,47.954
238,463.48,48.536,460.41,48.214
239,466.96,48.900,462.53,48.436
240,467.28,48.933,464.37,48.629
241,467.98,49.007,466.92,48.896
242,471.02,49.325,468.88,49.101
243,473.69,49.605,470.55,49.276
244,475.4,49.784,472.38,49.468
245,478.14,50.071,474.55,49.695
246,480.09,50.275,476.95,49.946
247,480.13,50.279,478.91,50.151
248,482.05,50.480,480.88,50.358
249,487.05,51.004,483.11,50.591
250,486.75,50.972,484.36,50.722
251,490.07,51.320,486.1,50.904
252,488.11,51.115,489.42,51.252
253,495.95,51.936,490.87,51.404
254,496.35,51.978,492.89,51.615
255,495.19,51.856,495.26,51.864
